title,thumbnail,link,viewcount,date
How to Study Zoology in Class 11th? Ab Saare Doubts Solve Honge !! ğŸ”¥,https://i.ytimg.com/vi/Fks4dVnTb5M/hqdefault.jpg,https://www.youtube.com/watch?v=Fks4dVnTb5M,5.5K views,3 days ago
"BIGGEST OFFER For Class - 8th ,9th \u0026 10th Students ğŸ¤© || Grab This Opportunity Now ğŸ”¥",https://i.ytimg.com/vi/nIuGXeISbSo/hqdefault.jpg,https://www.youtube.com/watch?v=nIuGXeISbSo,19K views,3 days ago
Launching PW à¤ªà¥à¤°à¤¯à¥‹à¤—à¤¶à¤¾à¤²à¤¾ 2.0 ğŸ”¥ || The Unbeatable is Loading...,https://i.ytimg.com/vi/p9pqo970kjw/hqdefault.jpg,https://www.youtube.com/watch?v=p9pqo970kjw,27K views,3 days ago
UDAAN Hindi Batch ğŸ”¥| Class 10th à¤µà¤¾à¤²à¥‹à¤‚ à¤•à¥‡ à¤¬à¤šà¥à¤šà¥‡à¤‚ à¤•à¥‡ à¤²à¤¿à¤ Surprises ğŸ‰ğŸ‰ #3SaalLajawaab,https://i.ytimg.com/vi/L5G-0FbyAsc/hqdefault.jpg,https://www.youtube.com/watch?v=L5G-0FbyAsc,11K views,4 days ago
NEEV 2.0 Batch ğŸ”¥ | Class 9th à¤µà¤¾à¤²à¥‹à¤‚ à¤•à¥‡ à¤¬à¤šà¥à¤šà¥‡à¤‚ à¤•à¥‡ à¤²à¤¿à¤ Surprises ğŸ‰ğŸ‰ #3SaalLajawaab,https://i.ytimg.com/vi/uqDX6hcRf2I/hqdefault.jpg,https://www.youtube.com/watch?v=uqDX6hcRf2I,19K views,4 days ago
How to Study Botany in Class 11th? Ab Saare Doubts Solve Honge !! ğŸ”¥,https://i.ytimg.com/vi/9ZVfDuqKIQM/hqdefault.jpg,https://www.youtube.com/watch?v=9ZVfDuqKIQM,11K views,7 days ago
How To Prepare For National Science Olympiad? ğŸ”¥ || A Complete Guide For Class 9th \u0026 10th Students,https://i.ytimg.com/vi/1wMGzlQTyeM/hqdefault.jpg,https://www.youtube.com/watch?v=1wMGzlQTyeM,35K views,8 days ago
How to Study Physics in Class 11th? Ab Saare Numericals Solve Honge !! ğŸ”¥,https://i.ytimg.com/vi/ivS0xPAbVUs/hqdefault.jpg,https://www.youtube.com/watch?v=ivS0xPAbVUs,16K views,10 days ago
Why Maximum Students WASTED their Class 11th? The HARSH TRUTH !!,https://i.ytimg.com/vi/UJb799ZLCwQ/hqdefault.jpg,https://www.youtube.com/watch?v=UJb799ZLCwQ,35K views,11 days ago
Meet Bhakti Agrawal : The Topper of Our CBSE Board Class - 10th 2023 ğŸ”¥,https://i.ytimg.com/vi/RPCHRtdO9hg/hqdefault.jpg,https://www.youtube.com/watch?v=RPCHRtdO9hg,17K views,12 days ago
